Nome do vendedor;Produto vendido;Quantidade unitária;Valor do produto;Valor da venda;Data da compra;Localização
Theo Cardoso;Produto C;10;52.83;528.3;06/01/2023;GO
Paulo Costa;Produto A;9;41.61;374.49;15/09/2022;SP
Alice Aragão;Produto D;10;88.26;882.6;26/07/2022;SE
Gabriel Rodrigues;Produto A;5;20.27;101.35;18/04/2023;GO
Juliana Fogaça;Produto D;4;12.76;51.04;23/10/2022;PB
Joana Rodrigues;Produto D;4;56.69;226.76;08/06/2022;PI
Alice Cardoso;Produto C;10;27.26;272.6;11/10/2022;BA
Pedro Lucas da Conceição;Produto C;7;18.01;126.07;24/07/2022;MG
Isabella da Cunha;Produto D;2;79.88;159.76;15/09/2022;PR
Dr. Samuel Pereira;Produto D;6;12.01;72.06;12/02/2023;CE
Isabella Aragão;Produto E;10;92.26;922.6;02/07/2022;PB
Valentina Souza;Produto E;5;36.09;180.45;12/02/2023;TO
Isabelly da Paz;Produto D;9;12.93;116.37;11/08/2022;ES
Valentina Rezende;Produto D;3;97.6;292.8;11/02/2023;SC
Gabriela Freitas;Produto E;9;60.14;541.26;05/06/2022;AC
Helena Fernandes;Produto D;2;47.44;94.88;15/02/2023;AL
João Nascimento;Produto B;5;47.29;236.45;05/08/2022;ES
Anthony Jesus;Produto B;6;89.39;536.34;31/08/2022;ES
Vinicius Duarte;Produto A;7;35.9;251.3;25/09/2022;BA
Vicente Silveira;Produto C;4;95.06;380.24;04/02/2023;SC
Lívia Nogueira;Produto B;10;91.77;917.7;17/03/2023;MA
Clara das Neves;Produto B;3;80.45;241.35;08/01/2023;SE
Dra. Nicole Lopes;Produto B;2;58.11;116.22;27/07/2022;MT
Juan Cardoso;Produto E;2;85.25;170.5;22/05/2023;AP
Emanuel Silva;Produto B;9;62.44;561.96;24/05/2022;MA
Noah Porto;Produto C;3;19.66;58.98;08/10/2022;RN
Luiz Otávio Pereira;Produto E;6;46.29;277.74;12/12/2022;RS
Diogo Porto;Produto D;6;83.99;503.94;09/01/2023;CE
Thiago Novaes;Produto C;2;36.1;72.2;14/04/2023;PI
Carolina da Cunha;Produto C;1;80.34;80.34;22/05/2022;RJ
Benício Pinto;Produto C;10;40.71;;06/11/2022;CE
Ana Laura Monteiro;Produto B;5;29.58;147.9;03/12/2022;CE
Vicente Aragão;Produto A;4;79.59;318.36;14/04/2023;AM
Anthony Jesus;Produto B;5;38.54;192.7;16/10/2022;RO
Larissa das Neves;Produto B;5;45.45;227.25;07/12/2022;AC
Cauê Costa;Produto A;10;63.69;636.9;17/06/2022;AC
Otávio Cavalcanti;Produto B;10;22.5;225.0;27/07/2022;RN
Isabel da Cruz;Produto D;7;20.39;142.73;31/03/2023;RJ
João Vitor Martins;Produto E;2;80.0;160.0;06/08/2022;PB
Sarah Alves;Produto E;10;34.31;343.1;01/05/2023;AM
Marcelo Rodrigues;Produto E;9;18.73;168.57;21/01/2023;AP
Eduardo Ramos;Produto C;9;14.14;127.26;13/12/2022;TO
Yasmin da Costa;Produto E;4;51.68;206.72;27/05/2022;PA
Evelyn Araújo;Produto C;4;12.06;48.24;14/03/2023;TO
Isabel Monteiro;Produto A;9;50.92;458.28;03/10/2022;RN
Alícia Duarte;Produto A;8;43.31;346.48;30/06/2022;RS
Ana Julia Fernandes;Produto D;7;54.11;378.77;21/10/2022;SP
Luiz Fernando da Rosa;Produto E;1;44.0;44.0;17/05/2023;RJ
Cecília Alves;Produto C;8;49.71;397.68;29/08/2022;MS
João Miguel Campos;Produto E;6;97.04;582.24;08/03/2023;TO
Arthur da Rocha;Produto B;6;86.0;516.0;03/08/2022;TO
Marcelo Duarte;Produto E;4;35.08;140.32;28/07/2022;PR
Sarah da Rocha;Produto E;2;71.27;142.54;02/06/2022;SC
Bianca Silva;Produto B;5;95.68;478.4;26/01/2023;SP
Lorena Jesus;Produto C;10;77.69;776.9;01/10/2022;AM
Bryan Caldeira;Produto E;1;44.07;44.07;22/01/2023;PI
Dr. Enzo Gabriel Ferreira;Produto E;2;84.96;169.92;10/03/2023;RN
Marina Farias;Produto A;7;17.5;122.5;20/07/2022;AP
Pedro Miguel da Luz;Produto C;4;47.41;189.64;22/01/2023;SC
Vitória Farias;Produto C;7;27.49;192.43;05/02/2023;PB
Igor Carvalho;Produto E;1;43.89;43.89;31/03/2023;PE
Isis Peixoto;Produto B;2;26.46;52.92;05/02/2023;RR
Alexia Cunha;Produto D;10;81.53;815.3;08/12/2022;RN
Maria Eduarda Oliveira;Produto B;5;14.92;74.6;05/05/2023;MA
Enrico da Costa;Produto C;4;16.76;67.04;18/02/2023;SE
Ana Luiza Fernandes;Produto C;9;52.5;472.5;14/10/2022;MA
Laís Silveira;Produto C;3;96.67;290.01;12/10/2022;ES
Maria Fernanda Moura;Produto D;8;41.4;331.2;29/09/2022;PA
Joaquim da Conceição;Produto E;9;12.19;109.71;27/07/2022;ES
Murilo Alves;Produto B;8;95.41;763.28;01/01/2023;RS
Luigi Melo;Produto A;8;88.77;710.16;08/01/2023;AL
Dra. Yasmin Duarte;Produto B;7;65.3;457.1;08/02/2023;AM
Luiz Felipe Freitas;;2;85.8;171.6;02/11/2022;DF
Bianca da Mata;Produto D;7;89.66;627.62;16/02/2023;RR
Larissa Freitas;Produto A;1;13.48;13.48;05/02/2023;ES
Cauã Vieira;Produto A;3;48.31;144.93;27/06/2022;BA
Isabel Nogueira;Produto C;10;98.0;980.0;10/10/2022;RS
Benjamin Lopes;Produto D;5;60.93;304.65;13/09/2022;ES
Thomas Araújo;Produto E;8;58.12;464.96;25/02/2023;PA
Isaac Novaes;Produto B;2;58.85;117.7;02/08/2022;SC
Isaac Melo;Produto B;6;34.01;204.06;06/12/2022;MA
Bianca Duarte;Produto A;7;44.65;312.55;30/12/2022;AM
Beatriz Moraes;Produto B;8;13.98;111.84;04/03/2023;RN
Dr. Thomas Pereira;Produto B;5;41.25;206.25;03/11/2022;AP
Maysa Porto;Produto C;7;83.24;;09/06/2022;TO
Daniela da Cruz;Produto A;4;17.67;70.68;05/11/2022;PI
Anthony Jesus;Produto E;4;52.59;210.36;20/03/2023;MT
Pedro Henrique Moura;Produto A;8;35.72;285.76;10/12/2022;MS
Anthony Jesus;Produto C;9;14.77;132.93;04/05/2023;TO
Dr. Eduardo Nascimento;Produto C;6;11.54;69.24;05/09/2022;SP
Davi Mendes;Produto B;4;97.43;389.72;19/07/2022;RO
Caio Moreira;Produto D;2;69.17;138.34;11/12/2022;AM
Vitor Hugo Cavalcanti;Produto D;3;24.14;72.42;22/02/2023;PR
Sophia Ribeiro;Produto B;2;78.49;156.98;29/11/2022;SC
Ana Carolina Viana;Produto D;1;78.45;78.45;09/02/2023;GO
Bruno Freitas;Produto C;8;91.74;733.92;13/12/2022;RR
Dr. Pedro Rezende;Produto E;4;17.62;70.48;31/10/2022;RN
Dr. Davi Lucas Aragão;Produto C;8;36.37;290.96;25/12/2022;SE
Emanuelly Nascimento;Produto A;2;57.39;114.78;16/02/2023;MS
Sabrina Cunha;Produto D;8;42.07;336.56;03/08/2022;MG
Anthony Jesus;Produto E;7;27.41;191.87;21/10/2022;AP
Alexia Souza;Produto A;3;22.43;67.29;09/07/2022;PA
Carolina Farias;Produto D;6;12.88;77.28;09/04/2023;PB
Lucca Freitas;Produto C;9;53.41;480.69;20/05/2023;PR
Dra. Stella Azevedo;Produto E;8;33.14;265.12;25/09/2022;SP
Felipe Alves;Produto A;1;83.82;83.82;22/05/2023;AL
Davi Luiz Rodrigues;Produto E;8;77.69;621.52;25/06/2022;ES
Mariane da Conceição;Produto B;2;85.47;170.94;23/04/2023;PR
Pedro Henrique Freitas;Produto B;9;20.94;188.46;26/08/2022;SP
André Melo;Produto C;5;26.24;131.2;13/03/2023;SC
Pedro Lucas Moura;Produto E;10;13.01;130.1;17/04/2023;DF
Marcelo Azevedo;Produto B;6;16.89;101.34;14/08/2022;MT
Camila Novaes;Produto D;2;95.24;190.48;04/05/2023;PA
Ian Oliveira;Produto B;5;42.28;211.4;25/11/2022;AM
Luiz Gustavo Peixoto;Produto B;2;99.92;199.84;26/06/2022;AL
Anthony Jesus;Produto C;2;97.13;194.26;07/09/2022;RR
Luiz Henrique Nunes;Produto D;9;36.91;332.19;28/10/2022;MG
Camila da Mata;Produto C;10;53.12;531.2;13/09/2022;ES
Amanda Alves;Produto B;1;11.27;11.27;30/01/2023;MS
Isabella Souza;Produto A;8;35.27;282.16;25/01/2023;RJ
Nicole Sales;Produto E;4;86.02;344.08;09/10/2022;PE
Helena Silva;Produto B;3;74.48;223.44;26/12/2022;PR
Lorenzo da Cunha;Produto A;10;55.67;556.7;07/04/2023;SC
Marcela Barros;Produto B;6;29.37;176.22;15/04/2023;MG
Murilo Pereira;Produto A;6;78.54;471.24;29/08/2022;PR
Luiz Miguel Almeida;Produto A;2;60.86;121.72;01/07/2022;BA
Danilo da Cunha;Produto C;9;32.19;289.71;12/12/2022;MS
Gabriel Araújo;Produto B;2;52.48;104.96;11/04/2023;MT
Maria Cecília Gonçalves;Produto B;8;64.04;512.32;27/12/2022;MG
Sofia da Costa;Produto B;1;89.23;89.23;02/05/2023;RJ
Anthony Jesus;Produto C;3;27.18;81.54;14/12/2022;AM
Ana Araújo;Produto A;4;20.46;81.84;19/11/2022;AM
Alexia Costa;Produto B;8;83.39;667.12;01/09/2022;AM
Davi Lucca Dias;Produto B;4;16.69;66.76;13/01/2023;AL
Raul Martins;Produto D;6;36.56;219.36;12/09/2022;GO
Larissa Peixoto;Produto E;3;42.71;128.13;12/06/2022;SE
Anthony Jesus;Produto A;7;19.91;139.37;20/05/2023;CE
Stephany Martins;Produto D;8;98.91;791.28;17/01/2023;ES
Felipe da Costa;Produto A;10;37.5;375.0;26/09/2022;PE
Anthony Jesus;;10;13.63;136.3;15/12/2022;PI
Anthony Jesus;Produto D;10;54.16;541.6;14/11/2022;AC
Ryan Campos;Produto D;9;29.19;262.71;24/09/2022;RJ
Renan Nunes;Produto E;2;56.3;112.6;09/05/2023;SE
Theo Vieira;Produto C;9;64.49;580.41;30/03/2023;AL
Levi Mendes;Produto E;3;14.02;42.06;22/07/2022;AP
Gustavo Henrique da Luz;Produto B;3;41.29;123.87;23/12/2022;RN
Lavínia Lima;Produto A;9;12.19;109.71;02/02/2023;RR
Natália da Mata;Produto C;3;14.82;44.46;17/03/2023;PR
Matheus Rodrigues;Produto A;9;51.28;461.52;09/07/2022;SE
Maria Sophia da Rosa;Produto D;4;60.45;241.8;09/02/2023;AM
Leandro da Rocha;Produto C;1;88.47;88.47;14/08/2022;MT
Giovanna Gomes;Produto E;2;51.55;103.1;21/03/2023;AP
Dr. Lucas da Mota;Produto E;7;86.51;605.57;27/08/2022;RJ
Marcela da Luz;Produto E;6;65.86;395.16;07/01/2023;PA
Maria Luiza Campos;Produto D;3;83.32;249.96;18/08/2022;AC
Benjamin Araújo;Produto E;1;66.13;66.13;11/07/2022;DF
Letícia das Neves;Produto B;4;17.16;68.64;13/10/2022;PE
Anthony Jesus;Produto B;2;34.33;68.66;03/08/2022;SC
Danilo Oliveira;Produto B;8;10.5;84.0;20/12/2022;AC
Ryan Moreira;Produto B;7;20.1;;20/11/2022;SE
Murilo da Cruz;Produto C;5;15.07;75.35;02/02/2023;CE
Isis Ramos;Produto E;9;70.29;632.61;25/09/2022;PI
Rodrigo Peixoto;Produto A;6;56.64;339.84;03/04/2023;MG
Matheus Freitas;Produto A;1;12.27;12.27;07/05/2023;PI
Lorenzo da Mata;Produto C;8;86.07;688.56;23/03/2023;MG
Dr. Diego Castro;Produto A;9;78.52;706.68;17/04/2023;SP
Erick Aragão;Produto B;8;31.4;251.2;28/03/2023;PI
Diego da Rocha;Produto D;1;38.2;38.2;19/06/2022;BA
Dra. Mariana Gonçalves;Produto E;9;57.67;519.03;06/10/2022;RR
Dr. Nicolas Novaes;Produto E;3;97.97;293.91;25/09/2022;ES
Eduarda Viana;Produto C;9;61.37;552.33;31/12/2022;MT
Dr. Heitor Monteiro;Produto A;5;47.5;237.5;18/12/2022;DF
Dr. João Gabriel Carvalho;Produto A;4;26.06;104.24;06/05/2023;MT
Mariana Moraes;Produto B;6;12.69;76.14;01/04/2023;RR
Thomas Nunes;Produto B;5;12.13;60.65;31/03/2023;RO
Dr. Henrique Vieira;Produto C;4;55.33;221.32;22/06/2022;DF
Luiz Otávio Pinto;Produto D;7;45.0;315.0;28/01/2023;MA
Caio das Neves;Produto C;10;92.77;927.7;29/12/2022;PE
Rafael da Conceição;Produto D;9;90.98;818.82;15/06/2022;MA
Bruno Nascimento;Produto B;1;79.06;79.06;28/02/2023;CE
Lucas Gabriel Silva;Produto B;9;66.76;600.84;20/09/2022;PI
Amanda Gonçalves;Produto C;2;72.11;144.22;28/08/2022;PE
Benjamin Viana;Produto D;5;29.21;146.05;02/07/2022;TO
Leonardo Nogueira;Produto B;2;98.27;196.54;14/09/2022;MA
Benício Porto;Produto C;6;90.13;540.78;18/03/2023;TO
Melissa Martins;Produto D;1;68.48;68.48;03/11/2022;SE
Davi Lucca Nunes;Produto C;3;52.32;156.96;03/05/2023;PR
Otávio Cunha;Produto A;8;10.22;81.76;07/09/2022;RR
Eduardo Barbosa;Produto A;4;14.35;57.4;24/09/2022;RS
Noah Teixeira;Produto B;7;92.44;647.08;05/09/2022;RS
Anthony Fogaça;Produto C;8;75.15;601.2;21/07/2022;PR
Anthony Jesus;Produto E;9;39.12;352.08;12/04/2023;PE
Olivia da Mata;Produto A;1;92.94;92.94;25/04/2023;PB
Anthony Jesus;Produto D;3;75.02;225.06;20/01/2023;RR
Leandro Fernandes;Produto C;2;56.08;112.16;20/11/2022;RO
Lavínia Alves;Produto E;7;65.85;460.95;13/08/2022;RN
Isadora Fogaça;Produto C;7;23.81;166.67;20/01/2023;SP
Cauê Mendes;Produto A;1;91.98;91.98;17/01/2023;PR
Dra. Isabella Dias;Produto B;5;29.38;146.9;05/07/2022;RJ
Anthony Jesus;Produto D;9;56.59;509.31;10/02/2023;RO
Ana Vitória Peixoto;Produto B;2;51.15;102.3;14/09/2022;TO
Maria Eduarda Melo;Produto D;6;14.69;88.14;21/01/2023;PA
Camila das Neves;Produto D;5;83.48;417.4;24/05/2022;TO
Nicole Nogueira;Produto D;5;89.68;448.4;18/02/2023;PR
Olivia Rocha;Produto C;6;53.73;322.38;13/02/2023;BA
Laura Silveira;Produto D;3;15.6;46.8;07/04/2023;SE
Dr. Francisco Barbosa;Produto A;10;91.02;910.2;10/06/2022;AM
Diego Ramos;Produto C;9;33.55;301.95;27/03/2023;PA
Lucca Dias;Produto E;10;83.71;837.1;18/02/2023;MT
Rebeca da Mata;Produto B;8;51.03;408.24;28/12/2022;DF
Pedro Miguel Correia;Produto C;2;97.83;195.66;17/10/2022;AL
Augusto Teixeira;Produto E;10;91.86;918.6;08/05/2023;SC
Vitor Hugo da Rosa;;5;67.8;339.0;21/05/2023;SP
Breno Fogaça;Produto E;6;44.74;268.44;15/06/2022;RN
Bernardo da Mota;Produto A;2;67.93;135.86;07/12/2022;MS
Alice Gomes;Produto E;2;45.85;91.7;19/09/2022;AM
Dra. Luna da Luz;Produto D;1;72.57;72.57;24/03/2023;RR
Daniel Almeida;Produto B;6;44.31;265.86;13/06/2022;TO
Dr. Pedro Miguel da Luz;Produto A;2;26.68;53.36;20/05/2023;SC
Paulo Viana;Produto A;4;14.54;58.16;15/12/2022;PB
Anthony das Neves;Produto A;10;42.52;425.2;27/08/2022;AL
Anthony Alves;Produto E;9;61.59;554.31;16/11/2022;DF
Thales Moraes;Produto A;2;64.24;128.48;07/08/2022;SP
Olivia Rezende;Produto B;4;72.24;288.96;19/03/2023;RN
Leonardo Fogaça;Produto B;3;46.19;138.57;12/02/2023;PB
João Felipe da Mota;Produto A;5;98.9;494.5;10/10/2022;RS
Vitória da Conceição;Produto C;10;57.43;574.3;26/05/2022;PI
Dr. Davi Lucca Mendes;Produto C;6;75.65;453.9;12/05/2023;PA
Yasmin Rocha;Produto A;4;10.05;40.2;20/12/2022;RS
Erick da Rosa;Produto C;6;68.87;413.22;04/10/2022;PB
Stephany Moura;Produto A;6;53.19;319.14;17/11/2022;SE
Marcelo Azevedo;Produto B;9;25.99;233.91;06/10/2022;AM
Anthony Jesus;Produto B;1;40.75;;31/05/2022;MS
Melissa Fogaça;Produto C;8;63.93;511.44;12/04/2023;PE
Alícia Ferreira;Produto D;8;91.44;731.52;05/06/2022;CE
Isis Cunha;Produto D;8;45.56;364.48;27/10/2022;AP
Dr. Murilo Moreira;Produto A;9;17.1;153.9;18/09/2022;PI
Maria Sophia da Luz;Produto B;7;53.52;374.64;20/07/2022;MT
Luiz Gustavo Dias;Produto D;7;49.35;345.45;25/06/2022;SC
João Vitor Rodrigues;Produto B;9;64.67;582.03;14/07/2022;ES
Esther Jesus;Produto D;2;89.86;179.72;12/02/2023;MA
Cauê da Mota;Produto A;5;43.8;219.0;30/08/2022;RO
Rafaela Silva;Produto A;3;61.09;183.27;23/11/2022;PE
Maria Clara Pereira;Produto E;6;60.27;361.62;19/02/2023;SC
Nicole das Neves;Produto B;2;37.57;75.14;09/06/2022;SC
Ana Lívia da Cruz;Produto A;10;85.38;853.8;07/06/2022;RR
Maysa da Rosa;Produto E;6;24.18;145.08;18/07/2022;PB
Enzo Gabriel Costa;Produto E;8;26.34;210.72;08/12/2022;ES
Fernanda Pinto;Produto E;6;10.04;60.24;02/02/2023;AP
Maria Lopes;Produto B;10;69.32;693.2;09/07/2022;BA
Ana Sophia Campos;Produto E;9;36.8;331.2;30/10/2022;MG
Miguel da Rosa;Produto B;7;63.88;447.16;01/01/2023;AM
Brenda Peixoto;Produto C;8;92.49;739.92;19/09/2022;PA
Anthony Jesus;Produto E;4;80.92;323.68;06/12/2022;SE
Maria Alice Fogaça;Produto E;2;30.06;60.12;14/05/2023;PE
Marina Silva;Produto D;1;85.26;85.26;22/03/2023;SP
Diogo Novaes;Produto C;9;59.68;537.12;15/07/2022;RO
Valentina Lopes;Produto C;4;81.19;324.76;01/10/2022;MT
Anthony Jesus;Produto B;9;95.22;856.98;22/03/2023;PR
Anthony Jesus;Produto C;2;25.78;51.56;10/12/2022;SP
Anthony Jesus;Produto E;6;88.15;528.9;22/11/2022;PR
Otávio Gonçalves;Produto A;4;84.0;336.0;29/01/2023;PI
Breno Gomes;Produto C;3;34.69;104.07;27/08/2022;SP
Bárbara da Mata;Produto C;6;73.05;438.3;24/01/2023;RS
Juliana Campos;Produto A;9;57.34;516.06;01/12/2022;PR
Nina das Neves;Produto E;10;59.16;591.6;20/10/2022;MT
Ana Lívia Cardoso;Produto C;4;76.03;304.12;15/11/2022;PA
Dra. Maria Alice Costa;Produto A;4;34.23;136.92;03/09/2022;RR
Nicolas Silva;Produto E;6;74.07;444.42;19/06/2022;MG
