jogador;genero;data_nascimento;jogo;pais;num_vitorias;num_derrotas;total_partidas
Jogador 109;Feminino;27/05/2003;Xadrez;Argentina;3;8;11
Jogador 110;Masculino;12/01/1992;Jogo da velha;Chile;45;15;60
Jogador 111;Feminino;31/07/1981;Jogo da velha;Paraguai;10;0;10
Jogador 112;Feminino;24/05/1989;Dama;Paraguai;43;41;84
Jogador 113;Masculino;27/04/1970;Dama;Uruguai;44;2;46
Jogador 114;Feminino;25/11/1997;Jogo da velha;Uruguai;36;52;88
Jogador 115;Masculino;02/02/1968;Jogo da velha;Brasil;34;39;73
Jogador 116;Feminino;21/05/2001;Jogo da velha;Uruguai;61;31;92
Jogador 117;Masculino;11/07/1976;Dama;Paraguai;14;43;57
Jogador 118;Masculino;10/09/1991;Xadrez;Chile;28;70;98
Jogador 119;Feminino;26/08/1953;Jogo da velha;Argentina;23;49;72
Jogador 120;Feminino;29/10/1956;Jogo da velha;Chile;9;23;32
Jogador 121;Masculino;23/06/1981;Jogo da velha;Brasil;25;27;52
Jogador 122;Masculino;20/06/1967;Jogo da velha;Chile;52;8;60
Jogador 123;Masculino;06/03/1983;Xadrez;Brasil;24;68;92
Jogador 124;Feminino;29/11/1977;Dama;Paraguai;4;18;22
Jogador 125;Masculino;05/03/1957;Jogo da velha;Chile;29;0;29
Jogador 126;Masculino;10/08/1955;Xadrez;Paraguai;57;13;70
Jogador 127;Feminino;23/12/1985;Jogo da velha;Argentina;27;18;45
Jogador 128;Masculino;22/12/1958;Dama;Brasil;27;10;37
Jogador 129;Masculino;24/10/1958;Jogo da velha;Argentina;3;4;7
Jogador 130;Masculino;07/01/1961;Xadrez;Chile;70;22;92
Jogador 131;Feminino;12/03/1987;Dama;Uruguai;23;4;27
Jogador 132;Feminino;16/03/1984;Jogo da velha;Paraguai;20;18;38
Jogador 133;Feminino;23/10/1975;Jogo da velha;Paraguai;11;66;77
Jogador 134;Feminino;22/01/1966;Dama;Brasil;89;3;92
Jogador 135;Feminino;09/01/1976;Dama;Chile;7;27;34
Jogador 136;Masculino;14/05/2003;Xadrez;Uruguai;45;19;64
Jogador 137;Masculino;04/04/2002;Dama;Argentina;34;42;76
Jogador 138;Feminino;16/02/1963;Jogo da velha;Chile;;28;44
Jogador 139;Masculino;19/01/1968;Dama;Uruguai;27;23;50
Jogador 140;Masculino;29/05/1956;Xadrez;Chile;27;10;37
Jogador 141;Masculino;14/06/1984;Dama;Brasil;32;0;32
Jogador 142;Masculino;27/08/1973;Dama;Paraguai;47;34;81
Jogador 143;Masculino;21/10/1995;Jogo da velha;Argentina;31;9;40
Jogador 144;Feminino;22/02/1952;Xadrez;Argentina;1;30;31
Jogador 145;Masculino;13/02/1995;Jogo da velha;Brasil;31;9;40
Jogador 146;Feminino;01/03/1996;Xadrez;Brasil;81;4;85
Jogador 147;Masculino;07/10/1974;Dama;Brasil;14;9;23
Jogador 148;Feminino;08/05/1961;Dama;Argentina;15;31;46
Jogador 149;Feminino;10/04/1982;Xadrez;Uruguai;24;17;41
Jogador 150;Feminino;02/03/1995;Jogo da velha;Paraguai;1;0;1
Jogador 151;Feminino;26/10/1976;Xadrez;Argentina;5;4;9
Jogador 152;Masculino;07/09/1997;Jogo da velha;Argentina;2;8;10
Jogador 153;Feminino;11/10/1955;Jogo da velha;Uruguai;41;19;60
Jogador 154;Feminino;30/04/1966;Dama;Uruguai;11;25;36
Jogador 155;Masculino;17/04/1968;Xadrez;Uruguai;12;38;50
Jogador 156;Feminino;18/05/1964;Xadrez;Chile;23;7;30
Jogador 157;Feminino;02/06/1950;Xadrez;Argentina;12;2;14
Jogador 158;Masculino;07/03/2003;Dama;Brasil;5;0;5
Jogador 159;Feminino;31/08/1986;Dama;Paraguai;51;18;69
Jogador 160;Feminino;15/05/1996;Dama;Paraguai;20;59;79
Jogador 161;Feminino;09/05/2005;Xadrez;Uruguai;22;61;83
Jogador 162;Masculino;31/01/1984;Xadrez;Argentina;26;13;39
Jogador 163;Masculino;02/03/1971;Dama;Chile;18;43;61
Jogador 164;Feminino;20/02/1957;Dama;Chile;17;17;34
Jogador 165;Feminino;30/06/2004;Jogo da velha;Paraguai;39;39;78
Jogador 166;Masculino;10/11/2000;Jogo da velha;Chile;14;7;21
Jogador 167;Feminino;29/05/1988;Xadrez;Argentina;45;15;60
Jogador 168;Masculino;25/08/1950;Dama;Uruguai;7;6;13
Jogador 169;Feminino;03/12/1996;Jogo da velha;Argentina;53;40;93
Jogador 170;Feminino;03/12/1985;Xadrez;Argentina;27;18;45
Jogador 171;Masculino;14/06/1971;Jogo da velha;Chile;15;41;56
Jogador 172;Masculino;18/06/1954;Dama;Uruguai;47;35;82
Jogador 173;Masculino;02/08/1976;Jogo da velha;Brasil;26;27;53
Jogador 174;Masculino;22/06/1981;Xadrez;Paraguai;34;14;48
Jogador 175;Masculino;26/06/1994;Xadrez;Chile;11;74;85
Jogador 176;Feminino;09/11/1975;Dama;Paraguai;36;1;37
Jogador 177;Feminino;30/01/1966;Dama;Paraguai;32;55;87
Jogador 178;Feminino;31/10/1960;Xadrez;Chile;79;16;95
Jogador 179;Masculino;11/01/1973;Dama;Chile;44;34;78
Jogador 180;Masculino;19/03/1968;Dama;Paraguai;4;47;51
Jogador 181;Feminino;18/01/1979;Xadrez;Paraguai;8;89;97
Jogador 182;Masculino;29/03/1968;Dama;Brasil;34;3;37
Jogador 183;Feminino;31/08/2000;Jogo da velha;Brasil;4;7;11
Jogador 184;Feminino;06/10/1964;Dama;Paraguai;51;6;57
Jogador 185;Feminino;05/12/1978;Jogo da velha;Argentina;51;45;96
Jogador 186;Feminino;01/09/2004;Xadrez;Brasil;80;3;83
Jogador 187;Feminino;01/09/1976;Xadrez;Uruguai;66;0;66
Jogador 188;Feminino;20/10/1987;Jogo da velha;Paraguai;11;64;75
Jogador 189;Feminino;15/12/1984;Jogo da velha;Argentina;78;3;81
Jogador 190;Feminino;20/05/1975;Jogo da velha;Paraguai;23;35;58
Jogador 191;Feminino;10/06/1984;Xadrez;Argentina;14;22;36
Jogador 192;Feminino;12/09/2002;Jogo da velha;Argentina;49;36;85
Jogador 193;Feminino;17/03/1967;Jogo da velha;Brasil;27;42;69
Jogador 194;Masculino;09/05/1990;Jogo da velha;Chile;42;23;65
Jogador 195;Masculino;11/09/1969;Xadrez;Chile;8;3;11
Jogador 196;Masculino;26/12/1988;Xadrez;Uruguai;12;4;16
Jogador 197;Feminino;12/07/1979;Dama;Chile;9;29;38
Jogador 198;Masculino;14/02/1971;Dama;Argentina;32;7;39
Jogador 199;Masculino;21/03/2003;Jogo da velha;Brasil;4;8;12
Jogador 200;Feminino;11/05/1982;Jogo da velha;Chile;3;34;37
Jogador 201;Feminino;02/06/2005;Xadrez;Argentina;3;4;7
Jogador 202;Masculino;28/05/1977;Jogo da velha;Paraguai;7;28;35
Jogador 203;Feminino;04/09/1953;Jogo da velha;Paraguai;50;27;77
Jogador 204;Masculino;29/01/2001;Dama;Chile;10;26;36
Jogador 205;Feminino;30/06/1953;Dama;Paraguai;12;39;51
Jogador 206;Masculino;17/11/1967;Xadrez;Chile;18;2;20
Jogador 207;Feminino;18/02/1961;Xadrez;Brasil;1;41;42
Jogador 208;Masculino;10/02/1958;Dama;Uruguai;10;0;10
Jogador 209;Feminino;26/12/1979;Dama;Uruguai;42;31;73
Jogador 210;Masculino;29/10/1988;Jogo da velha;Brasil;10;56;66
Jogador 211;Masculino;06/10/1984;Jogo da velha;Uruguai;40;22;62
Jogador 212;Feminino;31/08/1972;Xadrez;Chile;26;19;45
Jogador 213;Masculino;19/01/1982;Jogo da velha;Chile;8;67;75
Jogador 214;Feminino;19/03/1966;Jogo da velha;Paraguai;1;15;16
Jogador 215;Feminino;22/04/1955;Jogo da velha;Uruguai;11;4;15
Jogador 216;Masculino;16/10/2004;Xadrez;Chile;58;1;59
Jogador 217;Masculino;28/07/1997;Dama;Chile;50;11;61
Jogador 218;Masculino;28/09/1964;Dama;Chile;27;13;40
Jogador 219;Masculino;26/03/1989;Jogo da velha;Argentina;7;49;56
Jogador 220;Feminino;28/10/1979;Xadrez;Chile;89;9;98
Jogador 221;Masculino;19/07/2003;Dama;Chile;1;49;50
Jogador 222;Feminino;19/07/1980;Xadrez;Uruguai;8;68;76
Jogador 223;Feminino;16/09/1951;Xadrez;Brasil;79;11;90
Jogador 224;Feminino;04/05/1969;Dama;Brasil;2;8;10
Jogador 225;Feminino;10/09/2003;Xadrez;Chile;3;13;16
Jogador 226;Feminino;31/07/2004;Jogo da velha;Chile;8;0;8
Jogador 227;Masculino;10/08/1968;Xadrez;Brasil;12;8;20
Jogador 228;Masculino;16/12/1981;Xadrez;Brasil;13;5;18
Jogador 229;Feminino;30/07/1953;Dama;Chile;3;4;7
Jogador 230;Feminino;12/01/2001;Xadrez;Chile;16;19;35
Jogador 231;Masculino;01/09/1961;Dama;Paraguai;12;11;23
Jogador 232;Feminino;23/11/1995;Xadrez;Paraguai;69;26;95
Jogador 233;Masculino;12/06/1970;Jogo da velha;Uruguai;12;78;90
Jogador 234;Masculino;10/05/1975;Jogo da velha;Paraguai;39;5;44
Jogador 235;Feminino;17/12/1976;Xadrez;Brasil;10;52;62
Jogador 236;Feminino;27/05/1992;Xadrez;Chile;4;11;15
Jogador 237;Feminino;02/01/1950;Dama;Brasil;11;31;42
Jogador 238;Feminino;19/09/1963;Dama;Paraguai;8;48;56
Jogador 239;Masculino;23/08/1961;Xadrez;Argentina;48;34;82
Jogador 240;Masculino;10/12/1983;Dama;Argentina;15;41;56
Jogador 241;Feminino;04/11/2000;Jogo da velha;Paraguai;8;38;46
Jogador 242;Masculino;08/06/1992;Dama;Paraguai;27;71;98
Jogador 243;Feminino;29/08/1961;Jogo da velha;Chile;22;61;83
Jogador 244;Masculino;20/09/1970;Xadrez;Brasil;3;4;7
Jogador 245;Masculino;13/04/1979;Dama;Argentina;19;27;46
Jogador 246;Masculino;05/11/1997;Xadrez;Brasil;12;4;16
Jogador 247;Feminino;14/02/1954;Dama;Argentina;33;;89
Jogador 248;Feminino;28/02/1965;Jogo da velha;Brasil;37;13;50
Jogador 249;Feminino;19/01/1986;Jogo da velha;Paraguai;28;7;35
Jogador 250;Feminino;18/01/1967;Xadrez;Uruguai;27;0;27
Jogador 251;Masculino;07/05/1975;Jogo da velha;Uruguai;27;3;30
Jogador 252;Masculino;18/08/1985;Jogo da velha;Chile;;27;28
Jogador 253;Feminino;24/05/1976;Dama;Uruguai;2;9;11
Jogador 254;Feminino;23/05/1958;Jogo da velha;Brasil;1;15;16
Jogador 255;Masculino;14/03/2003;Xadrez;Brasil;33;9;42
Jogador 256;Feminino;28/09/2000;Xadrez;Chile;1;;73
Jogador 257;Feminino;24/07/1967;Dama;Uruguai;15;1;16
Jogador 258;Masculino;30/07/1975;Jogo da velha;Paraguai;13;2;15
Jogador 259;Masculino;02/08/2005;Dama;Chile;18;75;93
Jogador 260;Masculino;09/06/1958;Jogo da velha;Paraguai;17;5;22
Jogador 261;Masculino;19/08/1999;Xadrez;Uruguai;12;32;44
Jogador 262;Feminino;07/09/1972;Xadrez;Uruguai;42;16;58
Jogador 263;Masculino;13/09/2004;Dama;Paraguai;62;1;63
Jogador 264;Masculino;03/12/1961;Dama;Paraguai;59;19;78
Jogador 265;Masculino;26/06/1961;Jogo da velha;Brasil;28;46;74
Jogador 266;Feminino;21/12/1961;Jogo da velha;Uruguai;7;52;59
Jogador 267;Feminino;28/06/2003;Xadrez;Argentina;1;9;10
Jogador 268;Masculino;15/05/1970;Jogo da velha;Brasil;22;17;39
Jogador 269;Feminino;17/02/1978;Xadrez;Paraguai;6;1;7
Jogador 270;Feminino;02/06/1974;Dama;Uruguai;43;5;48
Jogador 271;Feminino;04/01/1989;Xadrez;Brasil;4;0;4
Jogador 272;Feminino;29/07/1976;Dama;Chile;50;36;86
Jogador 273;Feminino;07/06/1962;Xadrez;Brasil;22;28;50
Jogador 274;Feminino;23/12/1971;Dama;Brasil;21;21;42
Jogador 275;Masculino;31/01/1987;Jogo da velha;Paraguai;18;55;73
Jogador 276;Masculino;09/12/1991;Xadrez;Brasil;31;16;47
Jogador 277;Feminino;16/05/1972;Dama;Chile;22;4;26
Jogador 278;Feminino;25/04/1973;Xadrez;Chile;2;21;23
Jogador 279;Masculino;06/07/1965;Dama;Chile;13;54;67
Jogador 280;Masculino;17/04/2002;Dama;Brasil;39;54;93
Jogador 281;Feminino;28/05/1958;Jogo da velha;Brasil;6;83;89
Jogador 282;Feminino;11/04/1988;Dama;Brasil;53;23;76
Jogador 283;Feminino;29/03/1986;Jogo da velha;Chile;2;8;10
Jogador 284;Masculino;28/04/1978;Xadrez;Chile;14;3;17
Jogador 285;Masculino;28/03/1987;Xadrez;Paraguai;41;50;91
Jogador 286;Masculino;20/11/1982;Xadrez;Paraguai;38;29;67
Jogador 287;Masculino;02/08/2004;Xadrez;Brasil;48;25;73
Jogador 288;Masculino;01/02/1952;Xadrez;Brasil;3;;17
Jogador 289;Masculino;24/10/1982;Jogo da velha;Uruguai;1;92;93
Jogador 290;Masculino;23/10/1955;Dama;Chile;32;43;75
Jogador 291;Masculino;10/09/1982;Dama;Paraguai;27;55;82
Jogador 292;Feminino;01/04/1974;Jogo da velha;Paraguai;26;4;30
Jogador 293;Masculino;10/08/1974;Jogo da velha;Uruguai;1;1;2
Jogador 294;Masculino;11/02/1989;Jogo da velha;Paraguai;19;3;22
Jogador 295;Feminino;03/11/1960;Jogo da velha;Argentina;10;20;30
Jogador 296;Masculino;01/02/1998;Jogo da velha;Chile;8;26;34
Jogador 297;Masculino;01/08/1960;Xadrez;Uruguai;41;4;45
Jogador 298;Masculino;27/08/1967;Dama;Argentina;7;1;8
Jogador 299;Masculino;19/05/1996;Xadrez;Chile;8;89;97
Jogador 300;Masculino;08/04/1999;Xadrez;Argentina;1;2;3
Jogador 301;Feminino;03/06/2004;Dama;Brasil;47;33;80
Jogador 302;Masculino;19/04/1950;Jogo da velha;Brasil;21;26;47
Jogador 303;Masculino;11/02/1961;Xadrez;Chile;36;45;81
Jogador 304;Masculino;19/11/2003;Jogo da velha;Argentina;26;11;37
Jogador 305;Feminino;24/04/1976;Xadrez;Argentina;12;10;22
Jogador 306;Feminino;15/08/2000;Dama;Paraguai;11;16;27
Jogador 307;Masculino;05/05/1988;Jogo da velha;Uruguai;20;2;22
Jogador 308;Masculino;22/03/1962;Xadrez;Chile;19;64;83
Jogador 309;Feminino;25/05/1958;Jogo da velha;Paraguai;9;0;9
Jogador 310;Masculino;16/03/1974;Jogo da velha;Chile;10;20;30
Jogador 311;Feminino;22/12/1993;Dama;Brasil;2;28;30
Jogador 312;Feminino;30/05/1960;Dama;Uruguai;25;6;31
Jogador 313;Masculino;06/01/1997;Xadrez;Paraguai;19;30;49
Jogador 314;Masculino;12/03/1964;Xadrez;Uruguai;9;79;88
Jogador 315;Masculino;01/03/1980;Jogo da velha;Argentina;15;1;16
Jogador 316;Masculino;19/09/1976;Xadrez;Uruguai;81;15;96
Jogador 317;Feminino;27/05/1969;Xadrez;Uruguai;22;71;93
Jogador 318;Masculino;09/02/1985;Xadrez;Uruguai;25;4;29
Jogador 319;Feminino;29/06/1983;Jogo da velha;Uruguai;10;24;34
Jogador 320;Feminino;13/09/2001;Xadrez;Uruguai;7;6;13
Jogador 321;Feminino;02/04/1986;Dama;Brasil;21;17;38
Jogador 322;Masculino;10/03/1964;Jogo da velha;Uruguai;9;68;77
Jogador 323;Feminino;23/06/2004;Dama;Chile;19;0;19
Jogador 324;Feminino;23/03/1994;Dama;Brasil;;1;7
Jogador 325;Feminino;20/05/1968;Jogo da velha;Argentina;12;59;71
Jogador 326;Masculino;05/07/1987;Dama;Chile;46;21;67
Jogador 327;Feminino;12/05/1964;Xadrez;Uruguai;11;44;55
Jogador 328;Feminino;17/10/1968;Dama;Uruguai;9;41;50
Jogador 329;Masculino;12/08/1987;Jogo da velha;Argentina;30;8;38
Jogador 330;Masculino;11/09/1994;Jogo da velha;Chile;72;4;76
Jogador 331;Feminino;03/10/1959;Jogo da velha;Argentina;1;1;2
Jogador 332;Feminino;25/03/2000;Jogo da velha;Chile;59;12;71
Jogador 333;Masculino;25/03/2004;Dama;Argentina;48;2;50
Jogador 334;Masculino;13/08/1976;Dama;Chile;50;5;55
Jogador 335;Masculino;20/06/1992;Jogo da velha;Chile;4;0;4
Jogador 336;Feminino;11/01/1958;Dama;Brasil;6;1;7
Jogador 337;Masculino;13/06/1996;Dama;Argentina;36;;64
Jogador 338;Masculino;27/05/1969;Xadrez;Paraguai;23;15;38
Jogador 339;Feminino;13/02/1965;Dama;Argentina;5;0;5
Jogador 340;Feminino;26/01/1953;Xadrez;Brasil;1;6;7
Jogador 341;Feminino;16/07/1987;Jogo da velha;Uruguai;3;7;10
Jogador 342;Feminino;06/02/2005;Dama;Paraguai;25;3;28
Jogador 343;Feminino;26/05/2004;Jogo da velha;Uruguai;20;50;70
Jogador 344;Masculino;19/09/1994;Jogo da velha;Uruguai;53;15;68
Jogador 345;Masculino;27/11/1979;Jogo da velha;Chile;5;54;59
Jogador 346;Masculino;21/06/1999;Xadrez;Argentina;79;6;85
Jogador 347;Masculino;13/02/1989;Xadrez;Paraguai;2;0;2
Jogador 348;Masculino;21/11/1957;Dama;Paraguai;26;72;98
Jogador 349;Feminino;25/08/2004;Jogo da velha;Uruguai;1;55;56
Jogador 350;Feminino;31/08/1970;Xadrez;Paraguai;50;21;71
Jogador 351;Masculino;20/07/1977;Dama;Paraguai;15;22;37
Jogador 352;Feminino;10/10/1993;Jogo da velha;Uruguai;20;17;37
Jogador 353;Feminino;15/01/1985;Jogo da velha;Uruguai;1;14;15
Jogador 354;Feminino;21/07/1974;Jogo da velha;Argentina;32;9;41
Jogador 355;Masculino;29/11/1983;Xadrez;Chile;20;1;21
Jogador 356;Feminino;07/02/1964;Xadrez;Paraguai;39;5;44
Jogador 357;Feminino;11/07/2003;Dama;Argentina;6;5;11
Jogador 358;Masculino;04/11/1956;Jogo da velha;Paraguai;4;12;16
Jogador 359;Masculino;20/04/1995;Jogo da velha;Paraguai;17;30;47
Jogador 360;Masculino;10/05/1962;Dama;Argentina;3;26;29
Jogador 361;Masculino;06/03/1956;Xadrez;Uruguai;93;1;94
Jogador 362;Masculino;18/07/1956;Xadrez;Brasil;45;45;90
Jogador 363;Feminino;30/05/1969;Dama;Uruguai;27;21;48
Jogador 364;Masculino;19/04/1978;Jogo da velha;Paraguai;4;3;7
Jogador 365;Feminino;16/02/2004;Dama;Paraguai;60;18;78
Jogador 366;Feminino;08/08/1992;Xadrez;Paraguai;32;1;33
Jogador 367;Feminino;01/08/1980;Xadrez;Paraguai;35;11;46
Jogador 368;Feminino;31/12/1994;Jogo da velha;Brasil;15;0;15
Jogador 369;Masculino;06/01/1965;Jogo da velha;Uruguai;45;2;47
Jogador 370;Feminino;11/07/1983;Xadrez;Chile;64;3;67
Jogador 371;Feminino;01/10/1956;Dama;Brasil;11;37;48
Jogador 372;Feminino;12/01/1985;Dama;Argentina;22;13;35
Jogador 373;Feminino;24/06/2000;Xadrez;Paraguai;;49;60
Jogador 374;Masculino;28/09/2005;Dama;Paraguai;30;26;56
Jogador 375;Masculino;27/06/1994;Dama;Paraguai;20;25;45
Jogador 376;Feminino;11/10/1962;Xadrez;Brasil;29;20;49
Jogador 377;Feminino;03/06/1995;Jogo da velha;Brasil;57;4;61
Jogador 378;Masculino;22/02/1967;Dama;Brasil;39;8;47
Jogador 379;Feminino;13/04/1988;Dama;Uruguai;31;54;85
Jogador 380;Feminino;17/10/1991;Jogo da velha;Brasil;48;18;66
Jogador 381;Masculino;24/03/1976;Jogo da velha;Chile;29;6;35
Jogador 382;Feminino;01/04/1955;Xadrez;Paraguai;1;0;1
Jogador 383;Masculino;08/01/1981;Jogo da velha;Brasil;13;6;19
Jogador 384;Feminino;27/06/1975;Xadrez;Argentina;6;79;85
